Regulation,Year,Agency,Cost
"Protection of Marine Archaeological Resources","2024","Interior","4.5m"
"FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING REGULATIONS","2008","Interior","0.0"
"MIGRATORY BIRD HUNTING; MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS FOR THE 2019-20 SEASON","2019","Interior","0.0"
"MIGRATORY BIRD HUNTING; SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS","2019","Interior","0.0"
"Requirements for Subsurface Safety Valve Equipment","2010","Interior","80.0k"
"2019-2020 Station-Specific Hunting and Sport Fishing Regulations","2019","Interior","0.0"
"Migratory Bird Hunting; Final Frameworks for Early-Season","2010","Interior","0.0"
"Tribal Energy Resource Agreements","2019","Interior","0.0"
"Migratory Bird Hunting Regulations: Final Late","2014","Interior","0.0"
"Migratory Bird Hunting Regulations: Final Early","2014","Interior","0.0"
"Migratory Bird Hunting Regulations: Limits","2014","Interior","0.0"
"Migratory Bird Hunting; Early Seasons and Bag and Possession Limits for Certain Migratory Game Birds","2010","Interior","0.0"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS IN THE CONTIGUOUS UNITED STATES, ALASKA, HAWAII, PUERTO RICO, AND THE VIRGIN ISLANDS","2008","Interior","0.0"
"Migratory Bird Hunting Regulations: Early Season","2014","Interior","0.0"
"Migratory Bird Hunting; Migratory Bird Hunting Regulations on Certain Federal Indian Reservations","2010","Interior","0.0"
"Migratory Bird Hunting Regulations: Late Season","2014","Interior","0.0"
"MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS","2008","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS ","2014","Interior","0.0"
"Magnuson-Stevens Fishery Conservation and Management Act Provisions","2005","Interior","122.5k"
"Fisheries of the Northeastern United States; Recordkeeping and Reporting","2005","Interior","913.0k"
"FINAL FRAMEWORKS FOR MIGRATORY BIRD HUNTING REGULATIONS","2017","Interior","0.0"
"Control Order for Introduced Migratory Bird Species in Hawaii","2017","Interior","-6.0k"
"Migratory Bird Subsistence Harvest in Alaska; Use of Inedible Bird Parts","2017","Interior","-362.0k"
"Repeal of Consolidated Federal Oil & Gas and Federal & Indian Coal Valuation","2017","Interior","3.9m"
"MIGRATORY BIRD HUNTING; SEASONS AND BAG AND POSSESSION LIMITS","2017","Interior","0.0"
"MIGRATORY BIRD HUNTING REGULATIONS","2017","Interior","0.0"
"Permits for Incidental Take of Eagles and Eagle Nests","2024","Interior","1.1m"
"Onshore Oil and Gas Order Number 1","2017","Interior","-7.0m"
"Waiving Departmental Review of Appraisals and Valuations","2017","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS","2008","Interior","0.0"
"Waste Prevention, Production Subject to Royalties, and Resource Conservation; Delay and Suspension","2017","Interior","-46.0m"
"REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS FOR THE 2008-09 LATE SEASON","2008","Interior","0.0"
"Oil and Gas; Hydraulic Fracturing on Federal and Indian Lands; Rescission of a 2015 Rule","2017","Interior","-34.0m"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING REGULATIONS","2008","Interior","0.0"
"LIMITS FOR CERTAIN MIGRATORY GAME BIRDS IN THE CONTIGUOUS UNITED STATES","2012","Interior","0.0"
"Migratory Bird Hunting; Final Frameworks for Late-Season Migratory Bird Hunting Regulations","2010","Interior","0.0"
"Designation of Critical Habitat for the Klamath River","2005","Interior","78.0m"
"MIGRATORY BIRD HUNTING; FINAL FRAMEWORKS FOR MIGRATORY BIRD HUNTING","2016","Interior","0.0"
"Leasing of Sulfur or Oil and Gas in the Outer Continental Shelf","2016","Interior","0.0"
"Operations in the Outer Continental Shelf-Blowout Preventer Systems","2016","Interior","890.3m"
"Exploratory Drilling on the Arctic Outer Continental Shelf","2016","Interior","2.1b"
"Migratory Bird Hunting; Late Seasons and Bag and Possession Limits","2010","Interior","0.0"
"MIGRATORY BIRD HUNTING; SEASONS AND BAG AND POSSESSION LIMITS","2016","Interior","0.0"
"Migratory Bird Hunting; Migratory Bird Hunting Regulations on Certain Federal Indian Reservations","2010","Interior","0.0"
"Oil and Gas and Sulfur Operations on the Outer Continental Shelf","2016","Interior","46.0m"
"Increased Safety Measures for Energy Development ","2010","Interior ","183.1m"
"ROYALTY RELIEF FOR DEEPWATER OUTER CONTINENTAL SHELF OIL AND GAS LEASES","2008","Interior","0.0"
"BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS","2016","Interior","0.0"
"General Provisions and Non-Federal Oil and Gas Rights","2016","Interior","0.0"
"Risk Management, Financial Assurance, and Loss Prevention-Decommissioning Activities and Obligations","2023","Interior","0.0"
"Tribal Transportation Program","2016","Interior","0.0"
"Marine Mammals; Incidental Take of Northern Sea Otters During Specified Activities; the Gulf of Alaska","2023","Interior","0.0"
"Management of Non-Federal Oil and Gas Rights","2016","Interior","0.0"
"Outer Continental Shelf-Decommissioning Costs for Pipelines","2016","Interior","0.0"
"Onshore Oil and Gas Operations; Measurement of Gas","2016","Interior","35.0m"
"Onshore Oil and Gas Operations; Measurement of Oil","2016","Interior","8.0m"
"Safety and Environmental Management Systems","2010","Interior ","92.9m"
"Oil and Gas Operations on the Outer Continental Shelf-Increased Safety","2012","Interior","131.0m"
"Onshore Oil and Gas Operations; Site Security","2016","Interior","43.0m"
"Waste Prevention, Production Subject to Royalties, and Resource Conservation","2016","Interior","1.8b"
"Resource Management Planning","2016","Interior","0.0"
"Revisions to Regulations for Eagle Incidental Take and Take","2016","Interior","1.2m"
"Stream Protection Rule","2016","Interior","1.2b"
"Leasing Public Lands for Solar and Wind Energy Development","2016","Interior","0.0"
"Electronic, Computer, or Other Aids in the Play of Class II Games","2008","Interior","3.0m"
"Irrigation Operation and Maintenance","2008","Interior","280.0k"
"MIGRATORY BIRD HUNTING; MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS FOR THE 2017-18 SEASON ","2018","Interior","0.0"
"Migratory Bird Hunting; Final Frameworks for Migratory Bird Hunting Regulations","2018","Interior","0.0"
"MIGRATORY BIRD HUNTING; SEASONS AND BAG AND POSSESSION LIMITS FOR CERTAIN MIGRATORY GAME BIRDS ","2018","Interior","0.0"
"MIGRATORY BIRD HUNTING; MIGRATORY BIRD HUNTING REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS AND CEDED LANDS FOR THE 2018-19 SEASON ","2018","Interior","0.0"
"Waste Prevention, Production Subject to Royalties, and Resource Conservation; Rescission or Revision of Certain Requirements","2018","Interior","-2.1b"
"Endangered and Threatened Wildlife and Plants; Revision to the Section 4(d) Rule for the African Elephant","2024","Interior","0.0"
"Oil and Gas and Sulphur Operations on the Outer Continental Shelf-Oil and Gas Production Safety Systems","2018","Interior","-131.1m"
"Tribal Energy Resource Agreements Under Indian Energy Development","2008","Interior","380.0k"
"Endangered Status for the Georgia Pigtoe Mussel","2010","Interior","9.2m"
"Toxics Release Inventory Reporting Forms Modification Rule","2005","Interior","-2.3m"
"Regulations To Implement the Big Cat Public Safety Act","2023","Interior","0.0"
"Waste Prevention, Production Subject to Royalties, and Resource Conservation","2024","Interior","135.6m"
"REGULATIONS ON CERTAIN FEDERAL INDIAN RESERVATIONS","2012","Interior","0.0"
"Migratory Bird Subsistence Harvest in Alaska; Harvest Regulations for Migratory Birds in Alaska During the 2021 Season","2021","Interior","0.0"
"Endangered and Threatened Wildlife and Plants; Enhancement of Survival and Incidental Take Permits","2024","Interior","58.1m"
"Update of the Communications Uses Program, Cost Recovery Fee Schedules, and Section 512 of FLPMA for Rights-of-Way","2024","Interior","47.4m"
"Oil and Gas and Sulphur Operations in the Outer Continental Shelf (OCS)","2005","Interior","18.0m"
"Revisions to Subpart A-General; Subpart I-Platforms and Structures; and Subpart J","2008","Interior","3.5m"
"Geothermal Royalty Payments, Direct Use Fees, and Royalty Valuation","2007","Interior","0.0"
"Oil and Gas and Sulphur Operations in the Outer Continental Shelf-Incorporate API","2007","Interior","4.0m"
"Native American Graves Protection and Repatriation Act ","2010","Interior","100.0k"
"MIRGRATORY BIRD HUNTING REGULATIONS","2007","Interior","0.0"
"LATE SEASONS AND BAG AND POSSESSION LIMITS","2007","Interior","0.0"
"FINAL FRAMEWORKS FOR LATE-SEASON MIGRATORY BIRD HUNTING","2007","Interior","0.0"
"Reporting Amendments","2008","Interior","-2.2m"
"Oil and Gas and Sulphur Operations in the Outer Continental Shelf","2013","Interior","1.3m"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2007","Interior","0.0"
"FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2007","Interior","0.0"
"ONRR 2020 Valuation Reform and Civil Penalty Rule: Final Withdrawal Rule","2021","Interior","-32.1m"
"FINAL FRAMEWORKS FOR EARLY-SEASON MIGRATORY BIRD HUNTING","2013","Interior","0.0"
"MIGRATORY BIRD HUNTING REGULATIONS: Early","2013","Interior","0.0"
"Self-Governance PROGRESS Act Regulations","2024","Interior","63.0k"
"EARLY SEASONS AND BAG AND POSSESSION LIMITS","2013","Interior","0.0"
"Transfer of Electronic Prescriptions for Schedules II-V Controlled Substances Between Pharmacies for Initial Filling","2023","Justice","-118.9m"
"Nondiscrimination on the Basis of Disability; Accessibility of Web Information and Services of State and Local Government Entities","2024","Justice","-4.0b"
"Definition of “Frame or Receiver” and Identification of Firearms","2022","Justice","100.4m"
"Management of Quotas for Controlled Substances and List I Chemicals","2023","Justice","26.4m"
"Executive Office for Immigration Review Electronic Case Access and Filing","2021","Justice","-101.0m"
"Registration and Reregistration Fees for Controlled Substance and List I Chemical Registrants","2020","Justice","0.0"
"Implementation of the Agriculture Improvement Act of 2018","2020","Justice","-53.0k"
"Self-Certification of Regulated Sellers of Scheduled Listed Chemical Products","2006","Justice","2.8m"
"Implementation of the Substance Use-Disorder Prevention That Promotes Opioid Recovery and Treatment for Patients and Communities Act of 2018: Dispensing and Administering Controlled Substances for Medication-Assisted Treatment","2020","Justice","-182.0m"
"Approval of Nonprofit Budget and Credit Counseling","2006","Justice","0.0"
"Controls To Enhance the Cultivation of Marihuana for Research in the United States","2020","Justice","5.6m"
"International Terrorism Victim Expense Reimbursement Program","2006","Justice","0.0"
"Revised Regulations for Records Relating to Visual Depictions of Sexually Explicit","2008","Justice","2.4m"
"Registration Requirements for Narcotic Treatment Programs With Mobile Components","2021","Justice","-3.5m"
"National Motor Vehicle Title Information System ","2009","Justice","1.5m"
"Implementation of Online Consumer Protection Act","2009","Justice","1.1m"
"National Standards To Prevent, Detect, and Respond to Prison Rape","2012","Justice","6.9b"
"Removal of Thresholds for the List I Chemicals","2010","Justice","0.0"
"Assumption of Concurrent Federal Criminal Jurisdiction","2011","Justice","0.0"
"JAMES ZADROGA 9/11 HEALTH AND COMPENSATION ACT","2011","Justice","0.0"
"Regulations To Implement the Equal Employment Provisions","2011","Justice","183.0m"
"Professional Conduct for Practitioners-Rules and Procedures, and Representation and Appearances","2022","Justice","0.0"
"Nondiscrimination on the Basis of Disability; Accessibility of Medical Diagnostic Equipment of State and Local Government Entities","2024","Justice","285.9m"
"Electronic Orders for Controlled Substances","2005","Justice","-2.3b"
"Nondiscrimination on the Basis of Disability, Commercial","2010","Justice","12.9b"
"New Single-Sheet Format for U.S. Official Order Form for Schedule I and II Controlled Substances (DEA Form 222)","2019","Justice","-358.6m"
"Nondiscrimination on the Basis of Disability, State & Local","2010","Justice","12.9b"
"Factoring Criteria for Firearms With Attached “Stabilizing Braces”","2023","Justice","1.9b"
"Disposal of Controlled Substances","2014","Justice","2.7m"
"Registration Requirements for Importers ","2010","Justice","500.0k"
"Procedures for Completing Uniform Forms of Trustee Final Reports","2008","Justice","650.0k"
"Secure Gun Storage and Definition of “Antique Firearm”","2022","Justice","9.4m"
"Commerce in Firearms and Ammunition-Reporting Theft or Loss","2016","Justice","0.0"
"Machineguns, Destructive Devices and Certain Other Firearms; Background Checks","2016","Justice","29.4m"
"JAMES ZADROGA 9/11 VICTIM COMPENSATION FUND","2016","Justice","0.0"
"Amendment of Americans With Disabilities Act Title II and Title III Regulations","2016","Justice","243.6m"
"Disability by Public Accommodations-Movie Theaters; Movie Captioning","2016","Justice","113.4m"
"Enforcement of the Immigration and Nationality Act","2016","Justice","28.0m"
"Revision of Import and Export Requirements for Controlled Substances","2016","Justice","-424.0k"
"Implementation of the Provision of the Comprehensive Addiction and Recovery Act of 2016","2018","Justice","-808.0m"
